,State,Number.of.Vouchers.NUMERIC.x,Number.of.Vouchers.x,Percent.of.Vouchers.x,Annual.Cost.of.Vouchers.x,Number.of.Vouchers.Going.to.Rental.Households.with.Children.x,Percent.of.Vouchers.Going.to.Rental.Households.with.Children.x,Cost.of.Vouchers.Going.to.Rental.Households.with.Children.x,Number.of.Vouchers.Going.to.Rental.Households.with.Seniors.x,Percent.of.Vouchers.Going.to.Rental.Households.with.Seniors.x,Cost.of.Vouchers.Going.to.Rental.Households.with.Seniors.x,Number.of.Vouchers.Going.to.Rental.Households.with.Black.Householders.x,Percent.of.Vouchers.Going.to.Rental.Households.with.Black.Householders.x,Cost.of.Vouchers.Going.to.Rental.Households.with.Black.Householders.x,Number.of.Vouchers.Going.to.Rental.Households.with.Hispanic.Householders.x,Percent.of.Vouchers.Going.to.Rental.Households.with.Hispanic.Householders.x,Cost.of.Vouchers.Going.to.Rental.Households.with.Hispanic.Householders.x,Number.of.Vouchers.Going.to.Rental.Households.with.Householders.of.Color.x,Percent.of.Vouchers.Going.to.Rental.Households.with.Householders.of.Color.x,Cost.of.Vouchers.Going.to.Rental.Households.with.Householders.of.Color.x,Number.of.Vouchers.Going.to.Rental.Households.in.Poverty.x,Percent.of.Vouchers.Going.to.Rental.Households.in.Poverty.x,Cost.of.Vouchers.Going.to.Rental.Households.in.Poverty.x,Number.of.Vouchers.Going.to.Rental.Households.with.Food.Stamps.x,Percent.of.Vouchers.Going.to.Rental.Households.with.Food.Stamps.x,Cost.of.Vouchers.Going.to.Rental.Households.with.Food.Stamps.x,Number.of.Vouchers.if.Only.Renters.Participate.x,Total.Annual.Cost.of.Vouchers.x,Total.Monthly.Cost.of.Vouchers.if.Only.Renters.Participate.x,Total.Annual.Cost.of.Vouchers.if.Only.Renters.Participate.x,Actual.Number.of.Vouchers.Available.2020.x,Estimated.Monthly.Expenditure.x,Estimated.Annual.Expenditure.x,AMI.x,Number.of.Vouchers.NUMERIC.y,Number.of.Vouchers.y,Percent.of.Vouchers.y,Annual.Cost.of.Vouchers.y,Number.of.Vouchers.Going.to.Rental.Households.with.Children.y,Percent.of.Vouchers.Going.to.Rental.Households.with.Children.y,Cost.of.Vouchers.Going.to.Rental.Households.with.Children.y,Number.of.Vouchers.Going.to.Rental.Households.with.Seniors.y,Percent.of.Vouchers.Going.to.Rental.Households.with.Seniors.y,Cost.of.Vouchers.Going.to.Rental.Households.with.Seniors.y,Number.of.Vouchers.Going.to.Rental.Households.with.Black.Householders.y,Percent.of.Vouchers.Going.to.Rental.Households.with.Black.Householders.y,Cost.of.Vouchers.Going.to.Rental.Households.with.Black.Householders.y,Number.of.Vouchers.Going.to.Rental.Households.with.Hispanic.Householders.y,Percent.of.Vouchers.Going.to.Rental.Households.with.Hispanic.Householders.y,Cost.of.Vouchers.Going.to.Rental.Households.with.Hispanic.Householders.y,Number.of.Vouchers.Going.to.Rental.Households.with.Householders.of.Color.y,Percent.of.Vouchers.Going.to.Rental.Households.with.Householders.of.Color.y,Cost.of.Vouchers.Going.to.Rental.Households.with.Householders.of.Color.y,Number.of.Vouchers.Going.to.Rental.Households.in.Poverty.y,Percent.of.Vouchers.Going.to.Rental.Households.in.Poverty.y,Cost.of.Vouchers.Going.to.Rental.Households.in.Poverty.y,Number.of.Vouchers.Going.to.Rental.Households.with.Food.Stamps.y,Percent.of.Vouchers.Going.to.Rental.Households.with.Food.Stamps.y,Cost.of.Vouchers.Going.to.Rental.Households.with.Food.Stamps.y,Number.of.Vouchers.if.Only.Renters.Participate.y,Total.Annual.Cost.of.Vouchers.y,Total.Monthly.Cost.of.Vouchers.if.Only.Renters.Participate.y,Total.Annual.Cost.of.Vouchers.if.Only.Renters.Participate.y,Actual.Number.of.Vouchers.Available.2020.y,Estimated.Monthly.Expenditure.y,Estimated.Annual.Expenditure.y,AMI.y,Voucher_Gap,Eligible_HH,Actual_Vouchers_Avail
23,Michigan,137817,"137,817",3.5%,"$803,528,640 ","36,220",26.3%,"$236,577,296 ","52,088",37.8%,"$253,298,832 ","53,469",38.8%,"$300,132,736 ","3,779",2.7%,"$21,785,118 ","65,618",47.6%,"$378,799,840 ","118,241",85.8%,"$718,793,792 ","76,782",55.7%,"$378,260,352 ","300,276","$3,287,117,568 ","$160,447,248 ","$1,925,366,976 ","63,273","$37,647,435 ","$451,769,220 ",30,224460,"224,460",3.5%,"$1,186,306,560 ","55,539",24.7%,"$321,978,656 ","89,700",40.0%,"$430,055,488 ","77,466",34.5%,"$395,331,872 ","6,599",2.9%,"$34,494,636 ","96,957",2.9%,"$507,544,736 ","130,667",58.2%,"$777,636,864 ","101,968",45.4%,"$475,020,288 ","490,308","$5,279,685,888 ","$231,623,952 ","$2,779,487,424 ","63,273","$37,647,435 ","$451,769,220 ",50,237003,300276,63273
24,Minnesota,63480,"63,480",1.6%,"$379,768,800 ","12,367",19.5%,"$78,422,768 ","29,719",46.8%,"$170,784,160 ","11,246",17.7%,"$59,883,640 ","2,410",3.8%,"$13,777,648 ","19,490",30.7%,"$110,449,896 ","40,357",63.6%,"$253,998,480 ","25,650",40.4%,"$113,481,496 ","171,713","$1,819,716,672 ","$91,136,512 ","$1,093,638,144 ","36,652","$28,625,212 ","$343,502,544 ",30,105146,"105,146",1.6%,"$599,353,472 ","22,770",21.7%,"$137,960,784 ","46,817",44.5%,"$270,525,696 ","16,459",15.7%,"$86,415,232 ","4,154",4.0%,"$22,970,748 ","29,585",4.0%,"$162,346,320 ","45,291",43.1%,"$282,557,696 ","32,054",30.5%,"$147,311,664 ","290,365","$3,304,505,472 ","$144,301,792 ","$1,731,621,504 ","36,652","$28,625,212 ","$343,502,544 ",50,135061,171713,36652
25,Mississippi,34357,"34,357",0.9%,"$163,126,224 ","12,226",35.6%,"$65,809,976 ","10,101",29.4%,"$31,394,618 ","22,597",65.8%,"$99,945,056 ",431,1.3%,"$1,939,207 ","23,963",69.7%,"$106,663,608 ","33,480",97.4%,"$160,245,984 ","18,673",54.3%,"$79,904,192 ","87,878","$836,549,376 ","$42,618,424 ","$511,421,088 ","27,619","$15,632,354 ","$187,588,248 ",30,56734,"56,734",0.9%,"$234,684,208 ","18,663",32.9%,"$88,218,296 ","19,459",34.3%,"$58,485,896 ","35,089",61.8%,"$138,201,856 ",790,1.4%,"$2,817,669 ","37,189",1.4%,"$147,000,784 ","40,633",71.6%,"$185,326,112 ","25,631",45.2%,"$101,180,912 ","141,825","$1,305,122,400 ","$59,505,000 ","$714,060,000 ","27,619","$15,632,354 ","$187,588,248 ",50,60259,87878,27619
26,Missouri,64389,"64,389",1.6%,"$340,205,408 ","16,834",26.1%,"$98,253,824 ","23,229",36.1%,"$99,163,168 ","15,681",24.4%,"$89,310,480 ","1,596",2.5%,"$8,718,479 ","20,915",32.5%,"$121,300,496 ","55,917",86.8%,"$308,421,632 ","31,124",48.3%,"$137,806,496 ","183,669","$1,756,075,584 ","$92,483,064 ","$1,109,796,768 ","46,449","$25,825,644 ","$309,907,728 ",30,111418,"111,418",1.7%,"$520,128,064 ","28,030",25.2%,"$142,343,968 ","43,568",39.1%,"$179,830,304 ","24,908",22.4%,"$125,929,248 ","3,126",2.8%,"$14,125,495 ","33,338",2.8%,"$169,050,976 ","62,461",56.1%,"$335,086,880 ","42,160",37.8%,"$176,388,048 ","312,280","$2,844,593,280 ","$136,199,680 ","$1,634,396,160 ","46,449","$25,825,644 ","$309,907,728 ",50,137220,183669,46449
27,Montana,11157,"11,157",0.3%,"$53,924,988 ","2,076",18.6%,"$10,750,813 ","4,642",41.6%,"$18,306,844 ",70,0.6%,"$413,281 ",315,2.8%,"$1,963,887 ","2,035",18.2%,"$9,233,963 ","9,432",84.5%,"$47,941,052 ","4,804",43.1%,"$18,126,486 ","27,227","$284,054,064 ","$12,869,574 ","$154,434,888 ","7,043","$4,190,585 ","$50,287,020 ",30,20639,"20,639",0.3%,"$94,632,536 ","4,137",20.0%,"$20,054,422 ","9,051",43.9%,"$38,100,320 ",155,0.8%,"$793,021 ",581,2.8%,"$2,688,270 ","3,266",2.8%,"$13,484,455 ","11,063",53.6%,"$57,126,484 ","6,998",33.9%,"$25,792,244 ","50,597","$525,796,704 ","$21,891,582 ","$262,698,984 ","7,043","$4,190,585 ","$50,287,020 ",50,20184,27227,7043
28,Nebraska,22356,"22,356",0.6%,"$127,948,808 ","5,098",22.8%,"$30,043,966 ","9,092",40.7%,"$53,407,532 ","2,603",11.6%,"$15,859,976 ","1,554",7.0%,"$7,943,181 ","5,597",25.0%,"$31,640,992 ","16,854",75.4%,"$101,501,136 ","8,711",39.0%,"$39,104,712 ","58,343","$549,656,160 ","$29,488,778 ","$353,865,336 ","13,453","$7,291,526 ","$87,498,312 ",30,40505,"40,505",0.6%,"$211,418,880 ","10,229",25.3%,"$54,060,020 ","15,417",38.1%,"$87,986,584 ","4,052",10.0%,"$21,519,988 ","3,091",7.6%,"$14,805,288 ","9,703",7.6%,"$48,429,900 ","19,470",48.1%,"$113,367,936 ","11,626",28.7%,"$51,155,588 ","107,710","$984,801,120 ","$48,820,952 ","$585,851,424 ","13,453","$7,291,526 ","$87,498,312 ",50,44890,58343,13453
29,Nevada,33776,"33,776",0.9%,"$267,822,192 ","9,764",28.9%,"$82,978,896 ","12,387",36.7%,"$82,636,448 ","6,786",20.1%,"$59,692,112 ","6,562",19.4%,"$47,959,384 ","16,631",49.2%,"$134,951,008 ","29,993",88.8%,"$248,414,848 ","15,941",47.2%,"$105,127,488 ","92,056","$1,125,092,544 ","$65,959,276 ","$791,511,312 ","16,190","$12,919,620 ","$155,035,440 ",30,57564,"57,564",0.9%,"$390,585,824 ","15,684",27.2%,"$114,760,040 ","23,069",40.1%,"$135,913,376 ","10,341",18.0%,"$78,687,520 ","10,793",18.7%,"$69,106,960 ","26,824",18.7%,"$186,291,680 ","33,298",57.8%,"$265,413,920 ","22,284",38.7%,"$136,233,248 ","154,397","$1,719,012,480 ","$93,932,776 ","$1,127,193,312 ","16,190","$12,919,620 ","$155,035,440 ",50,75866,92056,16190
30,New Hampshire,13662,"13,662",0.4%,"$88,307,752 ","2,248",16.5%,"$17,251,420 ","6,938",50.8%,"$37,731,020 ",371,2.7%,"$3,029,671 ",75,0.5%,"$477,371 ","1,056",7.7%,"$8,067,837 ","8,074",59.1%,"$59,082,928 ","5,296",38.8%,"$31,194,900 ","36,707","$483,814,656 ","$21,866,780 ","$262,401,360 ","10,995","$9,334,755 ","$112,017,060 ",30,24142,"24,142",0.4%,"$140,909,616 ","4,542",18.8%,"$28,610,784 ","11,949",49.5%,"$63,312,132 ",605,2.5%,"$3,817,020 ",138,0.6%,"$830,386 ","1,867",0.6%,"$11,739,495 ","9,372",38.8%,"$66,258,720 ","6,982",28.9%,"$38,843,368 ","65,661","$875,490,816 ","$34,576,552 ","$414,918,624 ","10,995","$9,334,755 ","$112,017,060 ",50,25712,36707,10995
31,New Jersey,103941,"103,941",2.6%,"$859,239,296 ","25,920",24.9%,"$265,182,928 ","52,479",50.5%,"$345,749,888 ","28,081",27.0%,"$203,854,992 ","3,272",3.1%,"$33,909,128 ","39,161",37.7%,"$319,398,848 ","70,334",67.7%,"$626,344,640 ","44,050",42.4%,"$295,075,776 ","305,611","$4,682,064,000 ","$232,048,432 ","$2,784,581,184 ","83,246","$78,251,240 ","$939,014,880 ",30,164559,"164,559",2.5%,"$1,249,019,008 ","45,729",27.8%,"$401,570,016 ","78,007",47.4%,"$499,519,200 ","41,600",25.3%,"$280,561,536 ","5,616",3.4%,"$49,695,408 ","59,029",3.4%,"$441,442,912 ","75,914",46.1%,"$667,278,976 ","55,694",33.8%,"$364,528,000 ","495,127","$7,576,058,880 ","$338,420,064 ","$4,061,040,768 ","83,246","$78,251,240 ","$939,014,880 ",50,222365,305611,83246
32,New Mexico,28094,"28,094",0.7%,"$147,621,712 ","9,367",33.3%,"$59,086,696 ","9,675",34.4%,"$39,297,232 ",928,3.3%,"$6,349,832 ","9,341",33.2%,"$42,653,220 ","13,321",47.4%,"$65,168,004 ","26,911",95.8%,"$141,928,656 ","16,558",58.9%,"$78,398,480 ","60,661","$679,442,400 ","$30,110,978 ","$361,331,736 ","15,332","$8,769,904 ","$105,238,848 ",30,44513,"44,513",0.7%,"$208,757,664 ","13,043",29.3%,"$73,980,528 ","16,652",37.4%,"$63,769,152 ","1,561",3.5%,"$8,383,187 ","13,526",30.4%,"$56,371,904 ","19,899",30.4%,"$86,604,360 ","29,805",67.0%,"$152,909,104 ","21,979",49.4%,"$97,171,880 ","94,602","$1,020,964,896 ","$41,912,580 ","$502,950,960 ","15,332","$8,769,904 ","$105,238,848 ",50,45329,60661,15332
33,New York,353670,"353,670",9.0%,"$2,791,883,520 ","82,114",23.2%,"$762,974,016 ","182,397",51.6%,"$1,164,315,264 ","83,813",23.7%,"$629,231,808 ","7,485",2.1%,"$86,040,088 ","127,703",36.1%,"$1,049,495,424 ","257,329",72.8%,"$2,139,248,512 ","197,990",56.0%,"$1,239,424,000 ","964,754","$12,123,730,944 ","$710,580,672 ","$8,526,968,064 ","268,037","$276,614,184 ","$3,319,370,208 ",30,537027,"537,027",8.3%,"$3,985,525,760 ","133,426",24.8%,"$1,114,782,336 ","266,112",49.6%,"$1,677,447,424 ","123,354",23.0%,"$866,512,128 ","13,188",2.5%,"$131,321,056 ","189,863",2.5%,"$1,457,253,376 ","274,629",51.1%,"$2,258,714,368 ","249,113",46.4%,"$1,525,473,280 ","1,484,892","$18,809,081,856 ","$1,013,505,856 ","$12,162,070,272 ","268,037","$276,614,184 ","$3,319,370,208 ",50,696717,964754,268037
34,North Carolina,119162,"119,162",3.0%,"$657,975,104 ","38,674",32.5%,"$223,664,128 ","42,349",35.5%,"$193,674,992 ","49,324",41.4%,"$249,464,560 ","5,592",4.7%,"$27,837,588 ","61,043",51.2%,"$317,422,528 ","105,962",88.9%,"$596,656,128 ","62,347",52.3%,"$280,614,176 ","311,832","$3,210,905,088 ","$163,417,440 ","$1,961,009,280 ","69,928","$40,348,456 ","$484,181,472 ",30,199867,"199,867",3.1%,"$1,003,234,624 ","59,486",29.8%,"$316,070,368 ","75,891",38.0%,"$336,710,528 ","78,305",39.2%,"$363,954,944 ","10,429",5.2%,"$47,995,004 ","98,423",5.2%,"$467,456,672 ","118,682",59.4%,"$654,621,248 ","85,045",42.6%,"$360,982,432 ","521,902","$5,195,377,536 ","$243,657,552 ","$2,923,890,624 ","69,928","$40,348,456 ","$484,181,472 ",50,241904,311832,69928
35,North Dakota,9739,"9,739",0.3%,"$50,486,836 ","1,517",15.6%,"$7,351,072 ","3,935",40.4%,"$18,529,116 ",480,4.9%,"$2,713,771 ",198,2.0%,"$835,165 ","1,864",19.1%,"$7,700,404 ","7,160",73.5%,"$40,099,488 ","3,226",33.1%,"$12,950,918 ","25,043","$214,342,056 ","$11,903,808 ","$142,845,696 ","9,239","$4,637,978 ","$55,655,736 ",30,17406,"17,406",0.3%,"$84,296,152 ","3,204",18.4%,"$14,986,668 ","6,817",39.2%,"$33,409,202 ","1,052",6.0%,"$5,116,840 ",466,2.7%,"$2,206,519 ","3,447",2.7%,"$14,237,531 ","8,350",48.0%,"$45,779,452 ","4,309",24.8%,"$17,148,010 ","45,589","$376,733,664 ","$19,560,452 ","$234,725,424 ","9,239","$4,637,978 ","$55,655,736 ",50,15804,25043,9239
36,Ohio,156534,"156,534",4.0%,"$788,336,768 ","45,564",29.1%,"$252,127,888 ","55,520",35.5%,"$240,722,624 ","52,304",33.4%,"$251,211,728 ","2,811",1.8%,"$14,464,470 ","63,373",40.5%,"$317,073,504 ","140,520",89.8%,"$725,683,456 ","90,571",57.9%,"$383,211,104 ","399,773","$3,413,385,216 ","$186,847,488 ","$2,242,169,856 ","102,403","$59,393,740 ","$712,724,880 ",30,253757,"253,757",3.9%,"$1,165,108,992 ","66,682",26.3%,"$336,040,800 ","101,232",39.9%,"$426,464,288 ","74,681",29.4%,"$331,312,704 ","4,614",1.8%,"$21,778,976 ","91,752",1.8%,"$420,797,728 ","153,304",60.4%,"$779,773,120 ","118,963",46.9%,"$480,333,440 ","637,822","$5,380,649,856 ","$266,979,664 ","$3,203,755,968 ","102,403","$59,393,740 ","$712,724,880 ",50,297370,399773,102403
37,Oklahoma,39640,"39,640",1.0%,"$191,630,368 ","11,901",30.0%,"$62,568,776 ","13,083",33.0%,"$53,945,836 ","7,208",18.2%,"$36,995,244 ","2,586",6.5%,"$11,464,320 ","16,520",41.7%,"$80,090,536 ","36,362",91.7%,"$178,979,536 ","19,924",50.3%,"$81,816,528 ","109,441","$1,006,280,832 ","$51,709,772 ","$620,517,264 ","25,659","$14,420,358 ","$173,044,296 ",30,71359,"71,359",1.1%,"$306,945,280 ","21,224",29.7%,"$98,966,904 ","25,626",35.9%,"$102,276,552 ","10,886",15.3%,"$50,122,784 ","4,918",6.9%,"$19,449,306 ","27,210",6.9%,"$115,474,120 ","43,096",60.4%,"$205,234,080 ","28,699",40.2%,"$111,781,952 ","195,689","$1,730,869,440 ","$80,478,080 ","$965,736,960 ","25,659","$14,420,358 ","$173,044,296 ",50,83782,109441,25659
38,Oregon,49388,"49,388",1.3%,"$368,788,832 ","11,252",22.8%,"$90,069,360 ","19,889",40.3%,"$133,952,920 ","2,333",4.7%,"$17,414,294 ","4,678",9.5%,"$32,309,372 ","12,153",24.6%,"$91,770,520 ","39,955",80.9%,"$306,820,320 ","27,845",56.4%,"$160,914,768 ","129,264","$1,606,717,344 ","$87,313,128 ","$1,047,757,536 ","39,649","$29,538,505 ","$354,462,060 ",30,86595,"86,595",1.3%,"$571,981,184 ","20,540",23.7%,"$138,330,272 ","35,904",41.5%,"$222,831,072 ","3,313",3.8%,"$23,274,612 ","8,702",10.0%,"$51,768,460 ","19,900",10.0%,"$131,300,776 ","46,177",53.3%,"$340,888,448 ","40,527",46.8%,"$216,061,552 ","227,282","$2,683,467,840 ","$133,782,928 ","$1,605,395,136 ","39,649","$29,538,505 ","$354,462,060 ",50,89615,129264,39649
39,Pennsylvania,132968,"132,968",3.4%,"$792,528,640 ","31,165",23.4%,"$208,174,640 ","58,111",43.7%,"$281,944,992 ","27,700",20.8%,"$162,101,712 ","1,720",1.3%,"$11,664,636 ","36,184",27.2%,"$228,889,392 ","104,638",78.7%,"$664,170,368 ","73,212",55.1%,"$341,124,832 ","417,391","$4,641,225,600 ","$239,381,424 ","$2,872,577,088 ","94,013","$60,638,385 ","$727,660,620 ",30,223383,"223,383",3.5%,"$1,205,582,848 ","50,259",22.5%,"$300,864,928 ","104,484",46.8%,"$494,984,800 ","40,658",18.2%,"$219,092,576 ","2,689",1.2%,"$16,858,308 ","53,349",1.2%,"$306,367,232 ","115,188",51.6%,"$716,935,104 ","100,244",44.9%,"$447,970,976 ","682,357","$7,675,915,776 ","$349,974,048 ","$4,199,688,576 ","94,013","$60,638,385 ","$727,660,620 ",50,323378,417391,94013
40,Rhode Island,18463,"18,463",0.5%,"$101,501,552 ","3,771",20.4%,"$26,456,232 ","9,235",50.0%,"$37,612,520 ","1,689",9.1%,"$9,039,995 ",150,0.8%,"$579,098 ","2,981",16.1%,"$18,280,724 ","14,122",76.5%,"$84,054,936 ","11,029",59.7%,"$46,245,580 ","46,256","$439,840,512 ","$24,036,650 ","$288,439,800 ","11,103","$9,426,447 ","$113,117,364 ",30,29037,"29,037",0.5%,"$159,725,120 ","6,315",21.7%,"$40,950,916 ","14,672",50.5%,"$68,663,528 ","2,501",8.6%,"$12,500,000 ",230,0.8%,"$924,425 ","4,456",0.8%,"$25,274,926 ","15,214",52.4%,"$91,016,088 ","14,535",50.1%,"$63,012,432 ","73,249","$717,094,656 ","$36,694,836 ","$440,338,032 ","11,103","$9,426,447 ","$113,117,364 ",50,35153,46256,11103
41,South Carolina,55901,"55,901",1.4%,"$308,253,792 ","17,566",31.4%,"$98,132,496 ","19,284",34.5%,"$83,784,728 ","28,053",50.2%,"$135,508,848 ","2,082",3.7%,"$12,339,077 ","31,882",57.0%,"$160,991,392 ","50,860",91.0%,"$286,711,744 ","28,196",50.4%,"$124,856,344 ","139,601","$1,588,025,088 ","$76,483,480 ","$917,801,760 ","28,853","$17,369,506 ","$208,434,072 ",30,89091,"89,091",1.4%,"$448,578,720 ","26,713",30.0%,"$137,168,144 ","32,011",35.9%,"$139,719,104 ","43,181",48.5%,"$192,328,288 ","3,131",3.5%,"$17,105,144 ","49,025",3.5%,"$226,433,968 ","55,387",62.2%,"$305,474,848 ","36,298",40.7%,"$153,777,792 ","224,546","$2,524,452,864 ","$109,344,120 ","$1,312,129,440 ","28,853","$17,369,506 ","$208,434,072 ",50,110748,139601,28853
42,South Dakota,10030,"10,030",0.3%,"$50,913,352 ","2,009",20.0%,"$10,571,361 ","4,531",45.2%,"$22,400,736 ",224,2.2%,"$1,165,971 ",239,2.4%,"$1,217,594 ","2,739",27.3%,"$11,744,631 ","7,825",78.0%,"$42,690,348 ","4,089",40.8%,"$16,249,321 ","24,696","$215,364,360 ","$11,535,612 ","$138,427,344 ","6,753","$3,471,042 ","$41,652,504 ",30,18477,"18,477",0.3%,"$87,042,232 ","3,804",20.6%,"$17,473,790 ","8,503",46.0%,"$42,256,668 ",506,2.7%,"$2,039,028 ",444,2.4%,"$1,958,900 ","4,280",2.4%,"$17,083,904 ","9,031",48.9%,"$48,418,112 ","5,556",30.1%,"$21,072,064 ","45,620","$403,434,144 ","$19,182,526 ","$230,190,312 ","6,753","$3,471,042 ","$41,652,504 ",50,17943,24696,6753
43,Tennessee,78424,"78,424",2.0%,"$412,219,808 ","25,808",32.9%,"$149,612,336 ","25,699",32.8%,"$109,296,832 ","26,664",34.0%,"$146,778,160 ","2,593",3.3%,"$17,593,934 ","32,190",41.0%,"$184,560,240 ","72,224",92.1%,"$386,367,648 ","43,704",55.7%,"$189,078,832 ","205,994","$1,977,586,944 ","$103,867,928 ","$1,246,415,136 ","39,382","$24,023,020 ","$288,276,240 ",30,125984,"125,984",2.0%,"$594,294,912 ","37,815",30.0%,"$197,586,480 ","45,292",36.0%,"$180,323,568 ","39,702",31.5%,"$198,731,504 ","4,504",3.6%,"$26,191,422 ","48,639",3.6%,"$251,257,664 ","80,190",63.7%,"$416,212,704 ","57,332",45.5%,"$233,982,816 ","326,539","$3,110,203,776 ","$146,631,040 ","$1,759,572,480 ","39,382","$24,023,020 ","$288,276,240 ",50,166612,205994,39382
44,Texas,309690,"309,690",7.9%,"$2,014,185,216 ","112,059",36.2%,"$733,989,504 ","105,033",33.9%,"$567,832,320 ","72,547",23.4%,"$468,646,112 ","105,778",34.2%,"$548,898,368 ","195,655",63.2%,"$1,156,549,760 ","260,060",84.0%,"$1,740,418,944 ","136,764",44.2%,"$694,118,784 ","832,922","$9,439,803,648 ","$504,851,904 ","$6,058,222,848 ","174,152","$131,136,456 ","$1,573,637,472 ",30,515461,"515,461",8.0%,"$3,024,797,440 ","181,724",35.3%,"$1,099,353,600 ","169,982",33.0%,"$892,134,208 ","116,355",22.6%,"$676,499,392 ","168,428",32.7%,"$821,344,640 ","312,262",32.7%,"$1,688,581,248 ","287,784",55.8%,"$1,881,250,688 ","182,809",35.5%,"$895,548,032 ","1,410,497","$15,279,475,200 ","$754,569,728 ","$9,054,836,736 ","174,152","$131,136,456 ","$1,573,637,472 ",50,658770,832922,174152
45,U.S. Total,3941851,"3,941,851",100.0%,"$27,318,491,192 ","1,098,624",27.9%,"$8,335,228,250 ","1,604,203",40.7%,"$9,264,206,126 ","982,534",24.9%,"$6,164,913,627 ","411,612",10.4%,"$2,834,323,482 ","1,732,129",43.9%,"$11,862,512,691 ","3,163,269",80.2%,"$22,546,205,914 ","1,859,237",47.2%,"$10,152,879,356 ","10,487,163","$128,192,200,704 ","$6,791,728,128 ","$81,500,737,536 ","2,624,936","$2,189,196,624 ","$26,270,359,488 ",30,6468667,"6,468,667",100.0%,"$40,793,636,448 ","1,807,712",27.9%,"$12,360,706,048 ","2,632,213",40.7%,"$14,612,156,258 ","1,492,229",23.1%,"$8,599,044,061 ","697,916",10.8%,"$4,384,035,687 ","2,700,650",10.8%,"$16,907,749,566 ","3,513,205",54.3%,"$24,472,679,598 ","2,485,789",38.4%,"$13,011,565,022 ","17,307,736","$206,652,579,840 ","$10,037,445,632 ","$120,449,347,584 ","2,624,936","$2,189,196,624 ","$26,270,359,488 ",50,7862227,10487163,2624936
46,Utah,20670,"20,670",0.5%,"$133,406,632 ","6,701",32.4%,"$47,566,684 ","6,071",29.4%,"$32,672,944 ",775,3.7%,"$6,214,276 ","2,505",12.1%,"$15,307,407 ","5,005",24.2%,"$32,626,946 ","17,760",85.9%,"$120,879,664 ","7,805",37.8%,"$41,009,104 ","55,591","$686,370,768 ","$33,011,446 ","$396,137,352 ","12,521","$9,002,599 ","$108,031,188 ",30,36371,"36,371",0.6%,"$209,340,880 ","11,672",32.1%,"$74,168,288 ","10,389",28.6%,"$54,263,076 ","1,088",3.0%,"$7,791,512 ","4,766",13.1%,"$26,897,988 ","8,538",13.1%,"$50,058,000 ","20,381",56.0%,"$134,509,392 ","10,380",28.5%,"$53,498,932 ","100,532","$1,164,918,624 ","$51,812,724 ","$621,752,688 ","12,521","$9,002,599 ","$108,031,188 ",50,43070,55591,12521
47,Vermont,7618,"7,618",0.2%,"$47,876,764 ","1,130",14.8%,"$7,375,282 ","3,711",48.7%,"$19,950,956 ",218,2.9%,"$1,395,533 ",30,0.4%,"$119,406 ",659,8.7%,"$4,982,660 ","5,327",69.9%,"$35,629,176 ","3,858",50.6%,"$18,459,636 ","18,647","$253,876,512 ","$10,962,533 ","$131,550,396 ","8,168","$6,534,400 ","$78,412,800 ",30,13073,"13,073",0.2%,"$70,701,080 ","2,111",16.1%,"$12,176,310 ","6,410",49.0%,"$29,827,508 ",305,2.3%,"$1,789,632 ",71,0.5%,"$329,630 ","1,068",0.5%,"$6,869,711 ","6,138",47.0%,"$39,816,232 ","5,381",41.2%,"$25,343,102 ","32,516","$445,843,968 ","$16,231,090 ","$194,773,080 ","8,168","$6,534,400 ","$78,412,800 ",50,10479,18647,8168
48,Virginia,91438,"91,438",2.3%,"$674,148,096 ","26,220",28.7%,"$216,256,160 ","35,898",39.3%,"$211,821,296 ","33,793",37.0%,"$213,348,144 ","1,480",1.6%,"$12,424,303 ","41,918",45.8%,"$287,486,976 ","66,533",72.8%,"$511,861,536 ","37,455",41.0%,"$208,540,032 ","237,337","$3,221,817,984 ","$164,046,080 ","$1,968,552,960 ","56,981","$46,439,515 ","$557,274,180 ",30,150053,"150,053",2.3%,"$1,010,502,848 ","44,395",29.6%,"$330,243,072 ","57,263",38.2%,"$327,079,680 ","52,685",35.1%,"$308,380,192 ","2,798",1.9%,"$21,652,096 ","66,177",1.9%,"$418,913,600 ","73,530",49.0%,"$555,829,952 ","47,470",31.6%,"$257,981,568 ","394,156","$5,336,030,208 ","$245,424,528 ","$2,945,094,336 ","56,981","$46,439,515 ","$557,274,180 ",50,180356,237337,56981
